,name,skills,category,country,rating,reviews,price
0,Dominic Monn,"['Product', 'Marketplace', 'Entrepreneurship', 'SEO', 'Sales', 'Founder', 'Business', 'Bootstrapping', 'Content Marketing', 'Paid Ads', 'Startup', 'Leadership', 'Management', 'Product Management', 'Product Strategy', 'Product Development', 'Strategy', 'Marketing', 'Growth']",,Switzerland,5.0,21.0,
1,ALYSSA PAYNE,"['InDesign', 'Illustrator', 'Photoshop', 'Layout', 'magazine', 'adobe', 'Design', 'advertisement', 'Marketing', 'Banners', 'Packaging design', 'Business cards', 'Photo retouching', 'User experience', 'App design', 'Product Design', 'Design Thinking', 'Digital Marketing', 'Product Management']",,United States of America,,,
2,Luca Longo,"['Design', 'ux', 'User Experience', 'ui', 'User Interface', 'user Research', 'ab testing']",,Spain,,,
3,Lloyd Jacob,"['Product', 'y combinator', 'Marketing', 'instagram', 'facebook ads', 'SEO', 'team building', 'Social Media', 'content markting', 'Product market fit', 'Growth', 'y combinator', 'funding', 'idea', 'founder', 'founder stress', 'advice', 'SaaS', 'Product manager', 'Entrepreneur', 'founder', 'Startup']",,United States of America,5.0,10.0,
4,Ayush Jain,"['Data scientist', 'machine learning engineer', 'software engineer', 'Data structures', 'Python', 'Data analyst', 'machine learning', 'c++', 'autonomous driving', 'Career', 'counsel', 'Development', 'udacity']",,United Kingdom,5.0,30.0,
5,Nilesh Jain,"['Machine Learning', 'Natural Language Processing', 'Deep Learning', 'Data Science', 'Java', 'Android', 'R', 'Kotlin', 'Kaggle', 'Web Development', 'Tensorflow', 'PyTorch', 'machine learning', 'Frontend', 'Programming', 'Artificial Intelligence', 'Software testing', 'Interview', 'Algorithms', 'JavaScript', 'React', 'Investing', 'project', 'Android mentor', 'Java mentor', 'Data Science mentor', 'Data', 'Career', 'Data Structures', 'Career Growth', 'Product', 'Product mentor', 'Python mentor', 'JavaScript mentor', 'machine learning mentor', 'Management', 'Leadership', 'Startup', 'Design', 'Strategy', 'Engineering', 'coursera', 'Pass interviews', 'Freelancing']",,United States of America,4.7,67.0,
6,Kartik Arora,"['Android', 'Java', 'git', 'kotlin', 'Github', 'CI/CD', 'Software Engineering', 'Software Architecture']",,Australia,4.3,3.0,
7,Adekunle Oduye,"['HTML', 'CSS', 'JavaScript', 'React', 'Design Systems', 'Product Design', 'Prototyping']",,United States of America,5.0,2.0,
8,Jatin Ahuja,"['Machine learning', 'Data Science', 'Deep Learning', 'Data structures', 'Data Analysis', 'Programming', 'Python']",,India,4.8,11.0,
9,Bapusaheb Patil,"['Design', 'Brand Strategy', 'Brand Identity', 'Branding', 'Brand Design', 'Motion Design', '3D Design', 'UX Design', 'Marketing Design', 'EmAIl Design', 'Illustrations', 'Graphic Design', 'Product Design', 'NFTs', 'Mobile Design', 'App Design', 'Animation', 'Social Media Design', 'Blender', 'Adobe Creative Cloud', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe InDesign', 'Adobe After Effects', 'Adobe Premiere Pro', 'Figma', 'Sketch', 'Design Thinking']",,India,4.3,3.0,
